Season,Opponent,Home,Win,MOV,Streak,Rk,Age,W/L,ExW/L,AvMOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Record
2024-2025,Oklahoma City Thunder,1,0,-13,3,1,24.7,0.820512821,0.820512821,12.53,0.08,12.61,120,107.5,12.5,99.9,0.22,0.418,0.592,0.559,10.4,24.2,0.18,0.514,15,74.7,0.21,0.4
2024-2025,Denver Nuggets,1,1,12,-1,9,27,0.594936709,0.607594937,3.65,-0.04,3.61,119.7,116.1,3.6,99.9,0.256,0.357,0.604,0.574,12.6,26.7,0.197,0.542,11.3,74.6,0.175,0.6
2024-2025,Sacramento Kings,0,0,-17,1,15,27.8,0.487179487,0.512820513,0.35,0.02,0.37,116.4,116.1,0.3,98.5,0.238,0.393,0.582,0.547,11.9,25.1,0.191,0.556,12.6,76.9,0.201,0.6
2024-2025,New Orleans Pelicans,0,1,1,-1,28,25.9,0.269230769,0.256410256,-8.71,0.76,-7.94,110.7,119.5,-8.8,98.9,0.243,0.383,0.553,0.521,12.8,26.5,0.183,0.563,12.4,72.6,0.189,0.8
2024-2025,Toronto Raptors,1,0,-13,1,24,24.5,0.367088608,0.367088608,-4.47,0.04,-4.43,110.4,114.8,-4.4,99.7,0.235,0.371,0.553,0.522,13.4,27.4,0.176,0.54,13.1,73.8,0.223,0.777777778
2024-2025,Orlando Magic,0,1,27,-1,17,24.9,0.487179487,0.487179487,-0.5,-0.67,-1.17,109.1,109.6,-0.5,96.1,0.271,0.411,0.548,0.508,12.9,25.2,0.211,0.538,15,77.3,0.223,0.75
2024-2025,Atlanta Hawks,0,0,-4,1,19,24.9,0.474358974,0.448717949,-1.74,-0.1,-1.84,114.2,115.9,-1.7,102.7,0.252,0.408,0.577,0.543,13.2,26.2,0.196,0.562,13.8,76.1,0.204,0.666666667
2024-2025,Golden State Warriors,1,1,40,-1,10,28.6,0.58974359,0.58974359,2.87,0.34,3.22,114.8,111.9,2.9,98.8,0.24,0.468,0.567,0.536,12.3,27.4,0.183,0.542,13.9,75.7,0.19,0.6
2024-2025,Los Angeles Clippers,1,1,4,1,6,29.7,0.58974359,0.641025641,4.54,0.12,4.66,114.6,110,4.6,97.7,0.253,0.389,0.587,0.551,13.5,24.3,0.202,0.533,13.7,77.3,0.191,0.6
2024-2025,Los Angeles Lakers,1,0,-21,2,14,27.9,0.615384615,0.538461538,1.26,0.04,1.3,115.9,114.6,1.3,97.6,0.271,0.426,0.592,0.556,12.6,23.1,0.214,0.539,12.1,74.9,0.18,0.6
2024-2025,Dallas Mavericks,1,1,15,-1,18,27.5,0.481012658,0.46835443,-0.89,0.45,-0.43,115.1,115.9,-0.8,99.3,0.264,0.391,0.583,0.549,12.4,23.2,0.204,0.54,11.7,73.3,0.181,0.6
2024-2025,Houston Rockets,0,0,-2,1,4,24.9,0.658227848,0.670886076,5.48,0.32,5.8,115.4,109.9,5.5,98.5,0.246,0.381,0.552,0.521,11.8,32,0.182,0.524,12.9,76.2,0.185,0.8
2024-2025,Chicago Bulls,0,1,22,-1,20,25.2,0.461538462,0.435897436,-2.1,-0.14,-2.24,114,116.1,-2.1,102.9,0.215,0.458,0.585,0.554,12.7,22,0.173,0.54,10.7,76.5,0.181,0.625
2024-2025,New Orleans Pelicans,1,1,2,1,28,25.9,0.269230769,0.256410256,-8.71,0.76,-7.94,110.7,119.5,-8.8,98.9,0.243,0.383,0.553,0.521,12.8,26.5,0.183,0.563,12.4,72.6,0.189,0.8
2024-2025,Philadelphia 76ers,1,1,8,2,25,27.3,0.294871795,0.320512821,-6.21,0.13,-6.07,112.1,118.4,-6.3,97.2,0.257,0.424,0.565,0.528,12.3,23.2,0.201,0.572,14.4,71.9,0.195,0.5
2024-2025,Cleveland Cavaliers,1,1,7,3,2,26.6,0.794871795,0.769230769,9.79,-0.83,8.97,122.2,112.4,9.8,99.8,0.243,0.457,0.61,0.58,11.6,25.7,0.19,0.529,12.7,74.7,0.182,0.222222222
2024-2025,Dallas Mavericks,0,0,-7,4,18,27.5,0.481012658,0.46835443,-0.89,0.45,-0.43,115.1,115.9,-0.8,99.3,0.264,0.391,0.583,0.549,12.4,23.2,0.204,0.54,11.7,73.3,0.181,0.4
2024-2025,New York Knicks,1,1,27,-1,7,27.5,0.641025641,0.628205128,4.42,-0.7,3.72,118.7,114.2,4.5,96.9,0.233,0.38,0.591,0.558,11.9,25.9,0.187,0.547,13,74.4,0.174,0.5
2024-2025,Miami Heat,1,1,18,1,16,26.8,0.448717949,0.5,-0.08,-0.1,-0.18,112.9,113,-0.1,96,0.235,0.431,0.575,0.541,12.6,22.1,0.187,0.543,12.5,75.7,0.157,0.875
2024-2025,San Antonio Spurs,0,1,13,2,22,26,0.41025641,0.423076923,-2.72,0.32,-2.4,114.4,117.1,-2.7,99.4,0.234,0.44,0.574,0.543,12.2,24.5,0.181,0.551,12,73.1,0.159,0.8
2024-2025,Philadelphia 76ers,1,1,20,3,25,27.3,0.294871795,0.320512821,-6.21,0.13,-6.07,112.1,118.4,-6.3,97.2,0.257,0.424,0.565,0.528,12.3,23.2,0.201,0.572,14.4,71.9,0.195,0.5
2024-2025,New York Knicks,0,1,13,4,7,27.5,0.641025641,0.628205128,4.42,-0.7,3.72,118.7,114.2,4.5,96.9,0.233,0.38,0.591,0.558,11.9,25.9,0.187,0.547,13,74.4,0.174,0.636363636
2024-2025,Toronto Raptors,1,1,10,5,24,24.5,0.367088608,0.367088608,-4.47,0.04,-4.43,110.4,114.8,-4.4,99.7,0.235,0.371,0.553,0.522,13.4,27.4,0.176,0.54,13.1,73.8,0.223,0.777777778
2024-2025,Detroit Pistons,1,0,-20,6,12,25.8,0.551282051,0.564102564,2.18,-0.28,1.9,114.7,112.5,2.2,99.9,0.25,0.392,0.579,0.545,13.1,26.2,0.195,0.536,13.3,76.2,0.215,0.777777778
2024-2025,Cleveland Cavaliers,0,0,-7,-1,2,26.6,0.794871795,0.769230769,9.79,-0.83,8.97,122.2,112.4,9.8,99.8,0.243,0.457,0.61,0.58,11.6,25.7,0.19,0.529,12.7,74.7,0.182,0.75
2024-2025,Denver Nuggets,0,1,7,-2,9,27,0.594936709,0.607594937,3.65,-0.04,3.61,119.7,116.1,3.6,99.9,0.256,0.357,0.604,0.574,12.6,26.7,0.197,0.542,11.3,74.6,0.175,0.8
2024-2025,Portland Trail Blazers,0,1,10,1,23,23.8,0.443037975,0.405063291,-3.14,0.38,-2.76,112,115.2,-3.2,98.8,0.246,0.419,0.557,0.523,13.7,29,0.189,0.544,13.5,72.5,0.204,0.6
2024-2025,Philadelphia 76ers,0,1,18,2,25,27.3,0.294871795,0.320512821,-6.21,0.13,-6.07,112.1,118.4,-6.3,97.2,0.257,0.424,0.565,0.528,12.3,23.2,0.201,0.572,14.4,71.9,0.195,0.666666667
2024-2025,Los Angeles Lakers,0,1,10,3,14,27.9,0.615384615,0.538461538,1.26,0.04,1.3,115.9,114.6,1.3,97.6,0.271,0.426,0.592,0.556,12.6,23.1,0.214,0.539,12.1,74.9,0.18,0.6
2024-2025,Utah Jazz,0,1,6,4,29,23.9,0.202531646,0.253164557,-9.22,0.66,-8.55,111.2,120.4,-9.2,99.9,0.255,0.448,0.568,0.533,14.9,26.8,0.197,0.559,10.3,74.1,0.188,0.8
2024-2025,Oklahoma City Thunder,0,0,-6,5,1,24.7,0.820512821,0.820512821,12.53,0.08,12.61,120,107.5,12.5,99.9,0.22,0.418,0.592,0.559,10.4,24.2,0.18,0.514,15,74.7,0.21,0.6
2024-2025,Miami Heat,1,1,12,-1,16,26.8,0.448717949,0.5,-0.08,-0.1,-0.18,112.9,113,-0.1,96,0.235,0.431,0.575,0.541,12.6,22.1,0.187,0.543,12.5,75.7,0.157,0.875
2024-2025,Brooklyn Nets,1,1,2,1,26,24.8,0.320512821,0.294871795,-6.79,0.17,-6.62,108.5,115.6,-7.1,96.3,0.239,0.456,0.551,0.515,13.7,24.7,0.189,0.555,13.7,74.8,0.216,0.8
2024-2025,Brooklyn Nets,0,1,8,2,26,24.8,0.320512821,0.294871795,-6.79,0.17,-6.62,108.5,115.6,-7.1,96.3,0.239,0.456,0.551,0.515,13.7,24.7,0.189,0.555,13.7,74.8,0.216,0.666666667
2024-2025,Utah Jazz,1,1,22,3,29,23.9,0.202531646,0.253164557,-9.22,0.66,-8.55,111.2,120.4,-9.2,99.9,0.255,0.448,0.568,0.533,14.9,26.8,0.197,0.559,10.3,74.1,0.188,0.4
2024-2025,Portland Trail Blazers,1,1,13,4,23,23.8,0.443037975,0.405063291,-3.14,0.38,-2.76,112,115.2,-3.2,98.8,0.246,0.419,0.557,0.523,13.7,29,0.189,0.544,13.5,72.5,0.204,1
2024-2025,Sacramento Kings,1,1,18,5,15,27.8,0.487179487,0.512820513,0.35,0.02,0.37,116.4,116.1,0.3,98.5,0.238,0.393,0.582,0.547,11.9,25.1,0.191,0.556,12.6,76.9,0.201,0.8
2024-2025,Phoenix Suns,1,1,30,6,21,29.1,0.448717949,0.423076923,-2.6,0.27,-2.33,116.6,119.2,-2.6,97.1,0.246,0.437,0.597,0.562,12.8,22.6,0.199,0.551,10.8,74.1,0.192,0.6
2024-2025,San Antonio Spurs,1,1,10,7,22,26,0.41025641,0.423076923,-2.72,0.32,-2.4,114.4,117.1,-2.7,99.4,0.234,0.44,0.574,0.543,12.2,24.5,0.181,0.551,12,73.1,0.159,0.6
2024-2025,Memphis Grizzlies,1,1,14,8,8,24.7,0.58974359,0.628205128,4.65,-0.02,4.63,117.6,113.1,4.5,103.3,0.251,0.403,0.587,0.553,13.2,28.8,0.197,0.533,12.8,74.7,0.205,0.8
2024-2025,Miami Heat,0,0,-21,9,16,26.8,0.448717949,0.5,-0.08,-0.1,-0.18,112.9,113,-0.1,96,0.235,0.431,0.575,0.541,12.6,22.1,0.187,0.543,12.5,75.7,0.157,0.444444444
2024-2025,Phoenix Suns,0,1,20,-1,21,29.1,0.448717949,0.423076923,-2.6,0.27,-2.33,116.6,119.2,-2.6,97.1,0.246,0.437,0.597,0.562,12.8,22.6,0.199,0.551,10.8,74.1,0.192,0.8
2024-2025,Washington Wizards,0,1,34,1,30,23.6,0.217948718,0.179487179,-12.38,0.4,-11.99,107,119.3,-12.3,100.9,0.23,0.436,0.547,0.513,13.6,22.8,0.18,0.55,11.5,71.9,0.201,0.888888889
2023-2024,New York Knicks,1,1,4,0,5,26.4,0.609756098,0.646341463,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,0.54,11.9,29.4,0.192,0.543,12.3,76.1,0.176,0.5
2023-2024,Miami Heat,0,1,8,1,16,28,0.56097561,0.56097561,1.76,-0.66,1.1,114,112.2,1.8,96.2,0.257,0.394,0.578,0.538,11.7,21.8,0.21,0.543,12.7,78.1,0.174,0.444444444
2023-2024,Washington Wizards,1,1,19,2,28,24.9,0.182926829,0.243902439,-9.29,0,-9.29,110.5,119.6,-9.1,102.7,0.221,0.389,0.567,0.538,12.2,20,0.169,0.562,12,72.5,0.201,0.666666667
2023-2024,Indiana Pacers,0,1,51,3,10,25.3,0.573170732,0.585365854,3.05,-0.3,2.75,121,118,3,101.7,0.222,0.38,0.606,0.578,11.3,23.8,0.173,0.556,12.1,74.1,0.228,0.777777778
2023-2024,Brooklyn Nets,1,1,10,4,22,26.1,0.390243902,0.414634146,-2.89,-0.13,-3.02,113.2,116.1,-2.9,96.9,0.234,0.412,0.561,0.531,11.8,25.2,0.177,0.543,11.4,76,0.193,0.8
2023-2024,Minnesota Timberwolves,1,0,-5,5,3,27.2,0.682926829,0.695121951,6.45,-0.07,6.39,115.6,109,6.6,97.1,0.27,0.384,0.594,0.559,13,23.2,0.209,0.515,12.9,76.9,0.197,0.6
2023-2024,Philadelphia 76ers,1,0,-3,-1,8,28.4,0.573170732,0.597560976,3.05,-0.54,2.51,116.9,113.8,3.1,97.5,0.264,0.373,0.574,0.532,10.7,24.8,0.218,0.537,13.1,74.3,0.215,0.5
2023-2024,Brooklyn Nets,0,1,14,-2,22,26.1,0.390243902,0.414634146,-2.89,-0.13,-3.02,113.2,116.1,-2.9,96.9,0.234,0.412,0.561,0.531,11.8,25.2,0.177,0.543,11.4,76,0.193,0.666666667
2023-2024,Toronto Raptors,0,1,23,1,25,25.9,0.304878049,0.317073171,-6.44,-0.01,-6.45,112.3,118.8,-6.5,99.4,0.241,0.369,0.566,0.535,12.4,24.2,0.182,0.566,12.2,73.9,0.172,0.9
2023-2024,New York Knicks,0,1,16,2,5,26.4,0.609756098,0.646341463,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,0.54,11.9,29.4,0.192,0.543,12.3,76.1,0.176,0.636363636
2023-2024,Philadelphia 76ers,1,1,10,3,8,28.4,0.573170732,0.597560976,3.05,-0.54,2.51,116.9,113.8,3.1,97.5,0.264,0.373,0.574,0.532,10.7,24.8,0.218,0.537,13.1,74.3,0.215,0.5
2023-2024,Toronto Raptors,1,1,3,4,25,25.9,0.304878049,0.317073171,-6.44,-0.01,-6.45,112.3,118.8,-6.5,99.4,0.241,0.369,0.566,0.535,12.4,24.2,0.182,0.566,12.2,73.9,0.172,0.777777778
2023-2024,Memphis Grizzlies,1,1,2,5,26,24.4,0.329268293,0.292682927,-7,0.43,-6.57,107.2,114.3,-7.1,98.2,0.238,0.428,0.543,0.509,13.4,23.8,0.182,0.551,13.5,74.8,0.195,0.8
